hours-per-week,age,capital-gain,capital-loss,workclass,education,education-num,marital-status,relationship,race,gender,native-country,income,occupation
20,18,0,0,Private,Some-college,10,Never-married,Own-child,White,Female,United-States,1957,Other-service
15,22,0,0,Private,Some-college,10,Never-married,Own-child,White,Female,United-States,4604,Sales
50,60,0,0,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Husband,White,Male,United-States,57189,Exec-managerial
40,47,0,0,Private,HS-grad,9,Married-spouse-absent,Not-in-family,Black,Female,United-States,19571,Craft-repair
55,49,7688,0,Private,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,99999,Exec-managerial
40,59,0,0,Private,Bachelors,13,Married-civ-spouse,Husband,White,Male,United-States,16500,Sales
45,32,0,0,Private,Assoc-voc,11,Never-married,Not-in-family,White,Male,United-States,20410,Craft-repair
40,40,0,0,Private,Some-college,10,Married-civ-spouse,Husband,White,Male,United-States,18816,Sales
40,58,0,0,Private,HS-grad,9,Divorced,Other-relative,White,Female,United-States,4239,Sales
40,30,0,0,Private,HS-grad,9,Never-married,Other-relative,White,Male,United-States,10000,Handlers-cleaners
20,32,0,0,State-gov,Some-college,10,Never-married,Own-child,White,Male,United-States,1308,Craft-repair
55,30,0,0,Private,Bachelors,13,Never-married,Not-in-family,White,Female,United-States,30500,Exec-managerial
40,24,0,0,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Wife,White,Female,United-States,28000,Adm-clerical
50,32,15024,0,Self-emp-inc,Some-college,10,Married-civ-spouse,Husband,White,Male,United-States,99999,Exec-managerial
60,46,0,0,Private,HS-grad,9,Divorced,Not-in-family,White,Female,United-States,50000,Exec-managerial
40,49,0,0,Federal-gov,Some-college,10,Married-civ-spouse,Husband,White,Male,United-States,74900,Exec-managerial
40,32,0,1590,Private,Assoc-voc,11,Separated,Own-child,White,Male,United-States,23810,Tech-support
40,19,0,0,Private,HS-grad,9,Never-married,Not-in-family,White,Female,United-States,16000,Craft-repair
40,34,0,0,Private,HS-grad,9,Divorced,Unmarried,White,Female,United-States,2000,Machine-op-inspct
50,33,0,0,Private,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,49100,Exec-managerial
20,21,0,0,Private,Assoc-voc,11,Never-married,Own-child,White,Female,United-States,5000,Other-service
48,20,0,0,Private,HS-grad,9,Never-married,Own-child,Amer-Indian-Eskimo,Male,United-States,14200,Handlers-cleaners
40,19,0,0,Private,11th,7,Never-married,Not-in-family,White,Male,United-States,1500,Other-service
35,18,0,0,Private,11th,7,Married-civ-spouse,Husband,White,Male,United-States,25297,Other-service
60,62,0,0,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,30694,Craft-repair
40,51,7688,0,Private,HS-grad,9,Married-civ-spouse,Wife,White,Female,United-States,82770,Adm-clerical
30,20,0,0,Private,Some-college,10,Never-married,Own-child,White,Male,United-States,3237,Machine-op-inspct
45,46,0,0,Private,Assoc-acdm,12,Married-civ-spouse,Husband,White,Male,United-States,38013,Craft-repair
40,34,0,0,Local-gov,Masters,14,Widowed,Not-in-family,White,Female,United-States,33521,Prof-specialty
40,32,0,0,Private,Bachelors,13,Married-civ-spouse,Husband,White,Male,United-States,40100,Craft-repair
36,38,0,0,Private,Some-college,10,Married-civ-spouse,Husband,White,Male,United-States,69400,Craft-repair
40,64,0,0,Private,Some-college,10,Widowed,Not-in-family,White,Female,United-States,10600,Sales
40,30,0,0,Private,Bachelors,13,Married-AF-spouse,Wife,White,Female,United-States,73650,Exec-managerial
48,38,0,0,Private,Bachelors,13,Never-married,Not-in-family,White,Male,United-States,56154,Sales
50,50,13550,0,Private,Doctorate,16,Never-married,Not-in-family,White,Male,United-States,65931,Exec-managerial
15,34,0,0,Private,Bachelors,13,Never-married,Not-in-family,White,Female,United-States,12000,Other-service
40,29,0,0,State-gov,Assoc-voc,11,Divorced,Own-child,White,Male,United-States,30000,Adm-clerical
40,26,2597,0,Private,Some-college,10,Never-married,Own-child,White,Male,United-States,18849,Adm-clerical
40,46,0,0,Private,HS-grad,9,Divorced,Not-in-family,White,Male,United-States,18000,Other-service
40,56,3674,0,?,HS-grad,9,Divorced,Not-in-family,Black,Female,United-States,22574,?
40,52,15024,0,Self-emp-inc,HS-grad,9,Married-civ-spouse,Wife,White,Female,United-States,99999,Exec-managerial
35,36,0,0,Local-gov,Bachelors,13,Married-civ-spouse,Husband,White,Male,United-States,78300,Prof-specialty
54,38,0,0,Local-gov,HS-grad,9,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,United-States,74800,Protective-serv
14,18,594,0,Private,12th,8,Never-married,Own-child,White,Male,United-States,2694,Sales
43,28,0,0,?,Bachelors,13,Never-married,Not-in-family,White,Female,United-States,18150,?
40,52,0,0,Private,Some-college,10,Married-civ-spouse,Husband,White,Male,United-States,44781,Sales
40,25,0,0,Private,Some-college,10,Married-civ-spouse,Husband,White,Male,United-States,70800,Exec-managerial
16,17,0,0,Private,11th,7,Never-married,Own-child,White,Male,United-States,7000,Handlers-cleaners
40,35,0,0,Private,Assoc-voc,11,Divorced,Unmarried,White,Female,United-States,26000,Prof-specialty
50,24,0,0,Private,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,35014,Sales
60,37,0,0,Private,Bachelors,13,Married-civ-spouse,Husband,White,Male,United-States,99999,Exec-managerial
52,31,0,0,Private,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,46413,Craft-repair
30,38,0,0,Local-gov,Bachelors,13,Married-civ-spouse,Husband,White,Male,United-States,10500,Prof-specialty
35,23,0,0,?,Bachelors,13,Never-married,Own-child,White,Male,United-States,2068,?
60,36,0,0,Private,Assoc-acdm,12,Married-civ-spouse,Husband,White,Male,United-States,99999,Sales
30,38,0,0,Private,Some-college,10,Married-civ-spouse,Husband,White,Male,United-States,52250,Exec-managerial
50,41,0,0,?,Assoc-acdm,12,Widowed,Not-in-family,White,Female,United-States,21358,?
60,29,0,0,Private,HS-grad,9,Divorced,Not-in-family,White,Male,United-States,29500,Craft-repair
40,56,0,0,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,28001,Farming-fishing
45,22,0,0,?,HS-grad,9,Never-married,Not-in-family,White,Female,United-States,23000,?
40,23,0,0,Private,Bachelors,13,Never-married,Not-in-family,White,Female,United-States,18000,Prof-specialty
40,39,0,1762,Self-emp-not-inc,Bachelors,13,Divorced,Not-in-family,White,Male,United-States,8138,Adm-clerical
40,32,0,0,Private,Bachelors,13,Never-married,Unmarried,Other,Male,United-States,16000,Other-service
40,46,0,0,Private,HS-grad,9,Never-married,Unmarried,White,Male,United-States,24000,Craft-repair
40,32,0,0,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,36019,Transport-moving
45,25,0,0,Private,Some-college,10,Never-married,Not-in-family,White,Female,United-States,2800,Transport-moving
40,39,0,0,Private,9th,5,Married-civ-spouse,Husband,White,Male,United-States,48328,Handlers-cleaners
65,45,0,0,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Husband,White,Male,United-States,40634,Sales
50,40,0,0,Private,Bachelors,13,Married-civ-spouse,Husband,White,Male,United-States,27345,Prof-specialty
55,24,0,0,Private,HS-grad,9,Never-married,Own-child,White,Female,United-States,29200,Sales
40,22,0,0,Private,Some-college,10,Never-married,Own-child,White,Female,United-States,6130,Other-service
20,17,594,0,Private,12th,8,Never-married,Own-child,White,Female,United-States,1807,Adm-clerical
25,58,0,0,Private,HS-grad,9,Never-married,Other-relative,White,Male,United-States,18100,Other-service
40,53,15024,0,Private,Assoc-acdm,12,Married-civ-spouse,Husband,White,Male,United-States,99999,Exec-managerial
45,30,0,0,Private,10th,6,Married-civ-spouse,Husband,White,Male,United-States,37050,Craft-repair
40,47,0,0,Federal-gov,Some-college,10,Divorced,Unmarried,White,Female,United-States,19600,Adm-clerical
50,53,0,0,State-gov,Doctorate,16,Married-civ-spouse,Husband,White,Male,United-States,96230,Prof-specialty
40,32,0,0,Private,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,35600,Craft-repair
60,40,0,0,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,16220,Farming-fishing
48,23,0,0,Private,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,19195,Machine-op-inspct
50,45,0,0,Local-gov,11th,7,Married-civ-spouse,Husband,Black,Male,United-States,27000,Other-service
40,24,0,0,Private,11th,7,Never-married,Own-child,White,Male,United-States,59500,Prof-specialty
50,33,0,0,Private,HS-grad,9,Divorced,Not-in-family,White,Male,United-States,31000,Craft-repair
40,47,0,0,Private,Some-college,10,Divorced,Unmarried,White,Female,United-States,25146,Tech-support
40,55,0,0,Private,Some-college,10,Married-civ-spouse,Husband,White,Male,United-States,37425,Machine-op-inspct
40,52,15024,0,?,Masters,14,Married-civ-spouse,Wife,White,Female,United-States,99999,?
22,23,0,0,Private,Some-college,10,Never-married,Own-child,Black,Male,United-States,6000,Handlers-cleaners
50,40,0,0,Self-emp-not-inc,Bachelors,13,Never-married,Not-in-family,White,Male,United-States,33460,Exec-managerial
25,19,0,0,?,Some-college,10,Never-married,Not-in-family,White,Female,United-States,3500,?
50,37,0,0,Self-emp-not-inc,HS-grad,9,Never-married,Unmarried,White,Male,United-States,18035,Farming-fishing
45,34,0,0,State-gov,Bachelors,13,Never-married,Not-in-family,White,Male,United-States,37150,Prof-specialty
80,49,0,0,Private,HS-grad,9,Never-married,Own-child,White,Male,United-States,8254,Handlers-cleaners
40,60,2597,0,Private,HS-grad,9,Divorced,Unmarried,White,Female,United-States,17600,Tech-support
40,34,0,0,Private,HS-grad,9,Divorced,Own-child,White,Male,United-States,2800,Handlers-cleaners
45,41,0,0,Private,Assoc-voc,11,Never-married,Not-in-family,White,Male,United-States,15679,Other-service
40,49,0,0,Private,Doctorate,16,Divorced,Unmarried,White,Male,United-States,81200,Exec-managerial
40,19,0,0,Private,Some-college,10,Never-married,Own-child,White,Male,United-States,4161,Handlers-cleaners
38,35,7298,0,Private,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,70348,Tech-support
45,38,0,2444,Private,Bachelors,13,Never-married,Not-in-family,White,Female,United-States,55466,Sales
40,41,0,0,Private,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,41361,Transport-moving
60,24,0,0,Private,HS-grad,9,Never-married,Unmarried,White,Male,United-States,25000,Adm-clerical
52,36,0,0,Private,Some-college,10,Married-civ-spouse,Husband,White,Male,United-States,54005,Exec-managerial
40,54,0,0,Private,Some-college,10,Married-civ-spouse,Husband,White,Male,United-States,65729,Sales
40,33,0,0,Private,HS-grad,9,Divorced,Unmarried,White,Female,United-States,19000,Exec-managerial
72,47,0,0,Local-gov,Bachelors,13,Married-civ-spouse,Husband,White,Male,United-States,46600,Prof-specialty
50,40,14084,0,Private,Prof-school,15,Never-married,Not-in-family,White,Female,United-States,99999,Prof-specialty
40,26,0,0,Private,Bachelors,13,Never-married,Own-child,White,Female,United-States,7170,Adm-clerical
38,41,0,0,Private,Bachelors,13,Married-civ-spouse,Husband,White,Male,United-States,31459,Tech-support
43,32,0,0,Private,11th,7,Divorced,Not-in-family,White,Male,United-States,50288,Sales
30,39,0,0,Self-emp-not-inc,Masters,14,Married-civ-spouse,Wife,White,Female,United-States,80343,Exec-managerial
96,23,0,0,Private,HS-grad,9,Divorced,Not-in-family,White,Male,United-States,12106,Sales
48,22,0,0,Local-gov,HS-grad,9,Divorced,Own-child,White,Male,United-States,26000,Machine-op-inspct
40,23,0,0,Private,HS-grad,9,Never-married,Unmarried,Black,Female,United-States,12000,Adm-clerical
25,25,0,0,Private,HS-grad,9,Never-married,Own-child,White,Female,United-States,2418,Sales
35,56,0,0,Private,Some-college,10,Married-civ-spouse,Husband,White,Male,United-States,29140,Adm-clerical
67,60,0,1887,Self-emp-not-inc,9th,5,Married-civ-spouse,Husband,White,Male,United-States,58113,Exec-managerial
40,43,0,0,Private,Some-college,10,Never-married,Unmarried,Black,Female,United-States,40000,Adm-clerical
40,26,0,0,Private,Some-college,10,Married-civ-spouse,Husband,White,Male,United-States,17007,Adm-clerical
20,73,0,0,Local-gov,5th-6th,3,Married-civ-spouse,Husband,White,Male,United-States,19800,Protective-serv
40,31,3908,0,Private,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,39190,Sales
40,56,0,0,Self-emp-not-inc,11th,7,Married-civ-spouse,Husband,White,Male,United-States,4000,Craft-repair
40,33,0,0,Federal-gov,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,38550,Craft-repair
40,52,0,1762,Private,HS-grad,9,Widowed,Unmarried,White,Female,United-States,7918,Sales
55,38,0,0,Private,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,48800,Craft-repair
40,19,0,0,Self-emp-not-inc,10th,6,Married-spouse-absent,Unmarried,Amer-Indian-Eskimo,Female,United-States,3120,Adm-clerical
40,31,0,0,State-gov,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,25312,Sales
38,60,0,0,Private,Some-college,10,Married-civ-spouse,Husband,White,Male,United-States,26600,Protective-serv
4,72,3818,0,?,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,44293,?
40,30,0,0,?,11th,7,Never-married,Unmarried,White,Male,United-States,4791,?
40,39,0,0,Private,HS-grad,9,Divorced,Other-relative,White,Female,United-States,26647,Exec-managerial
50,45,0,0,Private,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,59665,Sales
30,22,0,0,Private,Some-college,10,Never-married,Not-in-family,White,Female,United-States,7100,Other-service
45,25,0,0,Private,10th,6,Married-civ-spouse,Husband,White,Male,United-States,18199,Craft-repair
40,43,0,1876,Private,Bachelors,13,Divorced,Not-in-family,White,Male,United-States,40124,Tech-support
40,52,0,0,Private,Some-college,10,Divorced,Not-in-family,Black,Female,United-States,8000,Sales
40,29,0,0,Private,Bachelors,13,Never-married,Not-in-family,White,Male,United-States,15452,Handlers-cleaners
48,26,0,0,Local-gov,Bachelors,13,Never-married,Not-in-family,White,Female,United-States,24000,Protective-serv
45,25,0,0,Private,Bachelors,13,Never-married,Own-child,White,Male,United-States,30242,Exec-managerial
40,45,0,0,State-gov,Some-college,10,Divorced,Not-in-family,White,Female,United-States,32026,Adm-clerical
25,34,0,0,?,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,36119,?
50,45,0,0,Private,Some-college,10,Married-civ-spouse,Husband,White,Male,United-States,39875,Exec-managerial
50,52,0,0,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Husband,White,Male,United-States,26408,Sales
40,42,2407,0,Private,Assoc-voc,11,Married-civ-spouse,Husband,White,Male,United-States,30903,Machine-op-inspct
40,37,0,0,Private,Some-college,10,Married-civ-spouse,Husband,White,Male,United-States,31010,Handlers-cleaners
40,40,0,0,Private,Bachelors,13,Married-civ-spouse,Husband,White,Male,United-States,96424,Tech-support
40,30,0,0,Private,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,35122,Exec-managerial
40,32,0,0,Private,Some-college,10,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,United-States,62050,Sales
60,36,0,0,Private,Some-college,10,Separated,Not-in-family,White,Male,United-States,57100,Exec-managerial
40,21,0,0,?,HS-grad,9,Never-married,Own-child,White,Female,United-States,6000,?
50,36,27828,0,Private,Prof-school,15,Never-married,Not-in-family,White,Male,United-States,99999,Exec-managerial
40,45,0,0,Self-emp-inc,Some-college,10,Separated,Not-in-family,White,Male,United-States,19932,Adm-clerical
50,60,0,0,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Wife,Black,Female,United-States,40168,Other-service
30,25,0,0,Private,Bachelors,13,Never-married,Own-child,White,Female,United-States,7000,Sales
40,57,0,0,Local-gov,Masters,14,Married-civ-spouse,Husband,Black,Male,United-States,99999,Exec-managerial
40,38,0,0,Private,9th,5,Married-civ-spouse,Husband,Black,Male,United-States,27000,Transport-moving
25,40,0,0,Private,7th-8th,4,Separated,Not-in-family,White,Female,United-States,4100,Other-service
40,18,0,0,Private,11th,7,Never-married,Own-child,White,Male,United-States,1500,Other-service
40,34,0,0,Private,Assoc-acdm,12,Divorced,Not-in-family,White,Male,United-States,8500,Machine-op-inspct
50,37,0,0,Private,HS-grad,9,Never-married,Not-in-family,Black,Male,United-States,7640,Transport-moving
33,41,0,0,Private,10th,6,Separated,Unmarried,Black,Female,United-States,12000,Other-service
51,45,0,0,Self-emp-inc,Bachelors,13,Married-civ-spouse,Husband,White,Male,United-States,30370,Exec-managerial
40,40,0,0,Private,Some-college,10,Married-civ-spouse,Husband,Black,Male,United-States,68311,Craft-repair
40,41,0,0,?,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,16000,?
25,42,0,0,Self-emp-inc,7th-8th,4,Divorced,Unmarried,White,Male,United-States,1000,Craft-repair
40,23,0,0,Private,HS-grad,9,Never-married,Not-in-family,White,Female,United-States,18000,Adm-clerical
25,19,0,0,Private,Some-college,10,Never-married,Own-child,White,Female,United-States,6714,Sales
5,50,0,1408,Self-emp-not-inc,Assoc-acdm,12,Never-married,Not-in-family,White,Female,United-States,43610,Sales
40,33,0,1741,?,HS-grad,9,Divorced,Not-in-family,Black,Male,United-States,33259,?
40,40,0,1902,Private,Some-college,10,Married-civ-spouse,Own-child,White,Female,United-States,73448,Tech-support
60,51,0,0,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,22600,Farming-fishing
40,60,0,0,Private,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,28158,Craft-repair
40,37,0,0,Private,Some-college,10,Divorced,Not-in-family,White,Male,United-States,22097,Machine-op-inspct
40,26,0,0,Private,HS-grad,9,Never-married,Not-in-family,Black,Male,United-States,5014,Sales
40,36,0,0,Private,Assoc-acdm,12,Never-married,Not-in-family,White,Female,United-States,35106,Tech-support
65,28,0,0,Local-gov,Some-college,10,Married-civ-spouse,Husband,White,Male,United-States,16399,Exec-managerial
15,18,594,0,?,Some-college,10,Never-married,Own-child,White,Female,United-States,2294,?
40,36,0,0,Private,11th,7,Married-civ-spouse,Husband,White,Male,United-States,23600,Craft-repair
43,41,0,0,Private,Some-college,10,Never-married,Not-in-family,Black,Male,United-States,40300,Transport-moving
40,57,0,0,Self-emp-inc,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,76700,Craft-repair
35,26,0,0,Private,HS-grad,9,Never-married,Own-child,White,Male,United-States,15000,Craft-repair
60,42,0,0,Self-emp-inc,Bachelors,13,Married-civ-spouse,Husband,White,Male,United-States,99999,Exec-managerial
40,27,0,0,Private,Some-college,10,Married-civ-spouse,Husband,White,Male,United-States,27044,Protective-serv
40,56,0,0,Private,Some-college,10,Married-civ-spouse,Husband,White,Male,United-States,94000,Exec-managerial
40,21,0,0,Private,HS-grad,9,Never-married,Own-child,White,Female,United-States,3300,Other-service
40,33,0,0,Private,12th,8,Married-civ-spouse,Husband,White,Male,United-States,2795,Protective-serv
25,17,0,0,?,12th,8,Never-married,Own-child,White,Female,United-States,1150,?
42,38,0,0,Local-gov,Bachelors,13,Married-civ-spouse,Husband,White,Male,United-States,84416,Exec-managerial
40,30,0,0,Private,HS-grad,9,Divorced,Not-in-family,White,Female,United-States,10640,Craft-repair
40,42,7688,0,Private,Some-college,10,Married-civ-spouse,Husband,White,Male,United-States,87610,Craft-repair
40,22,0,0,Private,Assoc-acdm,12,Married-civ-spouse,Wife,White,Female,United-States,30010,Prof-specialty
40,42,0,0,Local-gov,Some-college,10,Married-civ-spouse,Husband,White,Male,United-States,65180,Craft-repair
25,20,0,0,State-gov,Some-college,10,Never-married,Own-child,White,Male,United-States,664,Other-service
40,25,0,0,Private,HS-grad,9,Never-married,Other-relative,White,Male,United-States,17000,Craft-repair
60,26,0,0,Private,Some-college,10,Married-civ-spouse,Husband,White,Male,United-States,22000,Exec-managerial
16,64,0,0,Private,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,19480,Exec-managerial
40,23,0,0,Private,10th,6,Never-married,Not-in-family,White,Female,United-States,9000,Machine-op-inspct
50,40,0,0,Private,Masters,14,Married-civ-spouse,Husband,White,Male,United-States,76500,Exec-managerial
50,27,0,0,Private,Some-college,10,Never-married,Not-in-family,White,Male,United-States,24000,Sales
40,37,0,0,Private,Bachelors,13,Never-married,Other-relative,White,Male,United-States,34040,Machine-op-inspct
60,27,0,0,Private,Bachelors,13,Never-married,Not-in-family,White,Female,United-States,22002,Prof-specialty
40,27,0,1740,Private,Assoc-voc,11,Married-civ-spouse,Husband,White,Male,United-States,46120,Craft-repair
40,60,0,0,Private,9th,5,Married-civ-spouse,Husband,White,Male,United-States,22148,Sales
20,19,0,0,Private,Some-college,10,Never-married,Own-child,White,Female,United-States,5000,Other-service
60,48,0,2415,Private,Masters,14,Married-civ-spouse,Husband,White,Male,United-States,99999,Exec-managerial
60,44,0,0,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Husband,White,Male,United-States,20100,Prof-specialty
40,24,0,0,Private,Some-college,10,Never-married,Own-child,White,Male,United-States,23816,Craft-repair
40,42,0,0,Private,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,45076,Craft-repair
40,32,0,0,Federal-gov,Some-college,10,Divorced,Unmarried,White,Female,United-States,19610,Adm-clerical
45,21,0,0,Private,HS-grad,9,Never-married,Own-child,White,Male,United-States,23050,Farming-fishing
40,33,0,0,Private,HS-grad,9,Never-married,Unmarried,Black,Female,United-States,8000,Machine-op-inspct
40,56,99999,0,Self-emp-not-inc,HS-grad,9,Widowed,Unmarried,White,Female,United-States,99999,Adm-clerical
40,62,0,0,Private,HS-grad,9,Never-married,Not-in-family,White,Male,United-States,29650,Protective-serv
40,58,0,1741,State-gov,HS-grad,9,Never-married,Not-in-family,White,Male,United-States,35249,Adm-clerical
40,24,0,0,Private,Some-college,10,Married-civ-spouse,Husband,White,Male,United-States,30002,Machine-op-inspct
40,36,0,0,Private,HS-grad,9,Separated,Not-in-family,White,Female,United-States,9327,Sales
40,49,0,0,Private,Some-college,10,Married-civ-spouse,Husband,White,Male,United-States,18511,Sales
40,31,0,0,Private,10th,6,Married-civ-spouse,Husband,White,Male,United-States,46502,Machine-op-inspct
40,22,0,0,Private,HS-grad,9,Never-married,Own-child,Black,Female,United-States,8270,Sales
40,36,0,0,Local-gov,HS-grad,9,Never-married,Not-in-family,White,Male,United-States,28120,Other-service
40,24,0,0,Private,Bachelors,13,Never-married,Own-child,White,Male,United-States,2000,Exec-managerial
30,22,0,0,Private,Bachelors,13,Never-married,Not-in-family,White,Male,United-States,11008,Other-service
23,20,0,0,Private,Some-college,10,Never-married,Own-child,White,Male,United-States,3011,Transport-moving
40,39,5455,0,Private,HS-grad,9,Divorced,Unmarried,Black,Female,United-States,40805,Other-service
50,23,0,0,Private,Bachelors,13,Never-married,Not-in-family,White,Male,United-States,26700,Prof-specialty
45,49,0,0,Private,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,99999,Craft-repair
45,36,0,0,Private,Bachelors,13,Married-civ-spouse,Husband,Black,Male,United-States,68500,Exec-managerial
40,38,0,0,Private,11th,7,Never-married,Own-child,Black,Female,United-States,12000,Other-service
45,26,0,0,Private,Assoc-voc,11,Never-married,Not-in-family,White,Female,United-States,23611,Adm-clerical
40,55,0,0,?,Bachelors,13,Married-civ-spouse,Husband,White,Male,United-States,44400,?
48,51,0,0,Private,Assoc-voc,11,Divorced,Unmarried,Black,Female,United-States,38630,Tech-support
40,39,0,0,Private,11th,7,Married-civ-spouse,Husband,White,Male,United-States,16200,Machine-op-inspct
50,27,0,0,Private,Bachelors,13,Never-married,Not-in-family,White,Male,United-States,30050,Tech-support
36,26,0,0,Private,Assoc-acdm,12,Never-married,Not-in-family,White,Female,United-States,9005,Adm-clerical
40,46,0,0,Private,Bachelors,13,Married-civ-spouse,Husband,White,Male,United-States,58603,Exec-managerial
60,39,0,0,Private,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,23450,Transport-moving
40,64,0,0,Private,11th,7,Married-civ-spouse,Husband,White,Male,United-States,20252,Sales
40,33,0,0,Private,Some-college,10,Married-civ-spouse,Husband,Black,Male,United-States,60040,Adm-clerical
44,36,0,0,Private,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,52800,Machine-op-inspct
40,51,0,0,Private,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,20000,Craft-repair
24,18,0,0,Private,12th,8,Never-married,Own-child,White,Male,United-States,1300,Sales
50,62,0,0,Private,Bachelors,13,Married-civ-spouse,Husband,White,Male,United-States,55858,Prof-specialty
40,24,0,0,Private,Bachelors,13,Never-married,Own-child,White,Male,United-States,11615,Tech-support
40,69,15831,0,Private,HS-grad,9,Never-married,Not-in-family,White,Male,United-States,90333,Transport-moving
40,29,0,0,Local-gov,Some-college,10,Never-married,Not-in-family,White,Female,United-States,16608,Adm-clerical
40,36,0,0,Federal-gov,Bachelors,13,Never-married,Not-in-family,White,Female,United-States,39700,Exec-managerial
30,23,0,0,Private,Some-college,10,Never-married,Not-in-family,White,Female,United-States,10380,Adm-clerical
35,22,0,0,Private,Some-college,10,Never-married,Own-child,Black,Male,United-States,5220,Handlers-cleaners
20,65,0,0,Private,11th,7,Married-civ-spouse,Husband,White,Male,United-States,4808,Other-service
42,27,0,0,Private,HS-grad,9,Never-married,Not-in-family,White,Female,United-States,13000,Other-service
40,40,0,0,Private,HS-grad,9,Married-civ-spouse,Husband,Black,Male,United-States,22006,Craft-repair
51,37,0,0,Private,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,45362,Craft-repair
40,45,0,0,Private,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,49528,Sales
50,45,0,0,Private,Masters,14,Married-civ-spouse,Husband,White,Male,United-States,99999,Prof-specialty
10,18,0,0,Private,Some-college,10,Never-married,Own-child,White,Female,United-States,1490,Adm-clerical
45,39,0,0,Private,Some-college,10,Married-civ-spouse,Husband,White,Male,United-States,23612,Farming-fishing
28,60,0,0,Private,HS-grad,9,Married-civ-spouse,Husband,White,Male,United-States,24500,Transport-moving
45,38,0,0,State-gov,Bachelors,13,Married-civ-spouse,Husband,White,Male,United-States,65973,Prof-specialty
55,35,0,0,Local-gov,HS-grad,9,Never-married,Unmarried,Amer-Indian-Eskimo,Male,United-States,27100,Adm-clerical
40,39,0,0,Private,Some-college,10,Never-married,Not-in-family,White,Female,United-States,29344,Adm-clerical
40,50,0,0,Private,HS-grad,9,Divorced,Own-child,White,Male,United-States,30000,Machine-op-inspct
20,42,0,0,Private,Some-college,10,Married-civ-spouse,Husband,White,Male,United-States,71800,Tech-support
40,28,0,0,Private,Some-college,10,Married-civ-spouse,Wife,White,Female,United-States,45072,Sales
40,42,0,0,Private,Bachelors,13,Never-married,Not-in-family,White,Male,United-States,74708,Sales
40,36,0,0,Private,Bachelors,13,Married-civ-spouse,Wife,White,Female,United-States,99999,Sales
35,42,0,0,Local-gov,Masters,14,Married-civ-spouse,Husband,White,Male,United-States,53950,Prof-specialty
40,51,0,0,State-gov,Masters,14,Never-married,Not-in-family,White,Male,United-States,51541,Prof-specialty
40,62,0,0,Private,11th,7,Widowed,Not-in-family,Black,Female,United-States,24882,Handlers-cleaners
40,44,0,0,Private,Some-college,10,Separated,Not-in-family,Black,Male,United-States,14200,Machine-op-inspct
40,29,0,0,Private,Some-college,10,Never-married,Not-in-family,White,Female,United-States,27600,Tech-support
40,35,0,0,Private,HS-grad,9,Married-civ-spouse,Husband,Amer-Indian-Eskimo,Male,United-States,36100,Machine-op-inspct
45,30,0,0,Private,Bachelors,13,Married-civ-spouse,Husband,White,Male,United-States,98100,Prof-specialty
40,33,0,0,Private,Some-college,10,Never-married,Not-in-family,Black,Male,United-States,17000,Prof-specialty
